iter	Passed	Remaining
606	12357	28358
607	12377	28337
608	12396	28314
609	12418	28297
610	12439	28279
611	12459	28258
612	12480	28238
613	12499	28215
614	12520	28195
615	12540	28175
616	12559	28152
617	12577	28125
618	12596	28103
619	12619	28088
620	12642	28073
621	12668	28065
622	12687	28042
623	12706	28019
624	12726	27999
625	12745	27974
626	12765	27954
627	12784	27931
628	12803	27908
629	12823	27885
630	12841	27860
631	12863	27844
632	12882	27820
633	12902	27799
634	12925	27784
635	12944	27761
636	12963	27738
637	12984	27719
638	13005	27699
639	13025	27678
640	13044	27656
641	13063	27631
642	13086	27618
643	13105	27595
644	13126	27575
645	13146	27555
646	13166	27533
647	13186	27512
648	13206	27492
649	13230	27477
650	13248	27454
651	13267	27429
652	13286	27407
653	13308	27390
654	13328	27369
655	13347	27345
656	13367	27324
657	13386	27302
658	13406	27281
659	13427	27262
660	13447	27240
661	13469	27223
662	13489	27202
663	13509	27181
664	13531	27164
665	13549	27139
666	13570	27119
667	13587	27093
668	13607	27072
669	13626	27048
670	13641	27018
671	13660	26996
672	13680	26974
673	13699	26951
674	13715	26922
675	13737	26905
676	13759	26888
677	13781	26872
678	13799	26847
679	13819	26826
680	13839	26804
681	13857	26780
682	13877	26759
683	13896	26737
684	13918	26718
685	13936	26695
686	13958	26677
687	13977	26655
688	13997	26633
689	14016	26610
690	14035	26587
691	14053	26563
692	14072	26540
693	14091	26518
694	14110	26495
695	14129	26472
696	14148	26450
697	14170	26433
698	14190	26411
699	14210	26391
700	14230	26369
701	14256	26360
702	14276	26339
703	14294	26315
704	14314	26293
705	14333	26270
706	14351	26247
707	14371	26225
708	14392	26206
709	14413	26188
710	14432	26165
711	14452	26144
712	14472	26123
713	14489	26097
714	14508	26075
715	14529	26056
716	14548	26033
717	14567	26010
718	14587	25989
719	14609	25972
720	14627	25947
721	14645	25924
722	14665	25902
723	14683	25878
724	14702	25855
725	14721	25834
726	14740	25810
727	14758	25787
728	14781	25771
729	14800	25748
730	14822	25731
731	14841	25708
732	14859	25684
733	14878	25663
734	14901	25646
735	14920	25624
736	14941	25605
737	14959	25581
738	14978	25558
739	14997	25535
740	15015	25511
741	15036	25492
742	15055	25470
743	15073	25447
744	15092	25424
745	15112	25403
746	15135	25388
747	15154	25365
748	15173	25343
749	15193	25321
750	15211	25299
751	15229	25274
752	15250	25255
753	15268	25232
754	15287	25208
755	15307	25187
756	15326	25166
757	15345	25144
758	15365	25123
759	15384	25101
760	15408	25086
761	15428	25065
762	15447	25044
763	15469	25026
764	15488	25004
765	15508	24983
766	15527	24961
767	15549	24944
768	15569	24922
769	15588	24900
770	15606	24877
771	15625	24855
772	15641	24828
773	15660	24806
774	15682	24788
775	15705	24772
776	15724	24749
777	15744	24729
778	15764	24709
779	15782	24685
780	15802	24664
781	15820	24641
782	15838	24618
783	15859	24597
784	15878	24576
785	15900	24558
786	15919	24537
787	15939	24516
788	15959	24494
789	15976	24470
790	15994	24446
791	16013	24425
792	16030	24398
793	16049	24377
794	16069	24356
795	16089	24336
796	16109	24316
797	16129	24294
798	16148	24274
799	16167	24251
800	16188	24232
801	16208	24211
802	16227	24190
803	16254	24179
804	16278	24164
805	16297	24143
806	16317	24122
807	16339	24105
808	16360	24085
809	16379	24064
810	16398	24042
811	16417	24020
812	16436	23997
813	16456	23976
814	16476	23956
815	16495	23934
816	16513	23910
817	16532	23888
818	16554	23871
819	16572	23848
820	16592	23827
821	16614	23810
822	16630	23783
823	16649	23761
824	16669	23740
825	16688	23719
826	16707	23697
827	16725	23674
828	16743	23650
829	16764	23632
830	16783	23610
831	16804	23591
832	16823	23568
833	16844	23550
834	16864	23529
835	16886	23512
836	16905	23490
837	16926	23471
838	16946	23450
839	16964	23427
840	16983	23405
841	17005	23387
842	17023	23364
843	17042	23342
844	17062	23321
845	17081	23300
846	17101	23279
847	17120	23257
848	17139	23235
849	17155	23209
850	17170	23183
851	17190	23162
852	17212	23145
853	17232	23124
854	17252	23104
855	17271	23082
856	17290	23060
857	17310	23040
858	17326	23014
859	17344	22991
860	17363	22969
861	17383	22949
862	17406	22933
863	17431	22918
864	17450	22897
865	17472	22879
866	17494	22862
867	17513	22840
868	17535	22822
869	17554	22801
870	17573	22778
871	17593	22758
872	17615	22740
873	17635	22720
874	17657	22703
875	17678	22683
876	17698	22662
877	17717	22641
878	17737	22620
879	17755	22598
880	17776	22578
881	17796	22558
882	17815	22537
883	17835	22516
884	17854	22495
885	17877	22477
886	17897	22457
887	17917	22436
888	17937	22416
889	17956	22394
890	17975	22372
891	17995	22352
892	18014	22331
893	18035	22311
894	18053	22290
895	18074	22269
896	18096	22252
897	18118	22235
898	18141	22217
899	18160	22196
900	18179	22175
901	18198	22152
902	18218	22132
903	18241	22116
904	18260	22094
905	18279	22073
906	18299	22052
907	18322	22035
908	18342	22015
909	18360	21992
910	18380	21971
911	18399	21950
912	18419	21929
913	18439	21909
914	18457	21886
915	18476	21865
916	18494	21842
917	18513	21820
918	18534	21802
919	18553	21780
920	18573	21760
921	18593	21739
922	18611	21716
923	18630	21695
924	18650	21675
925	18666	21650
926	18686	21629
927	18706	21609
928	18723	21585
929	18746	21568
930	18769	21551
931	18788	21530
932	18806	21508
933	18825	21486
934	18845	21465
935	18867	21447
936	18886	21425
937	18904	21404
938	18923	21382
939	18943	21362
940	18966	21345
941	18986	21324
942	19007	21305
943	19028	21285
944	19049	21266
945	19069	21246
946	19091	21228
947	19112	21208
948	19135	21191
949	19156	21173
950	19177	21153
951	19202	21139
952	19223	21119
953	19244	21100
954	19270	21086
955	19292	21068
956	19312	21048
957	19335	21030
958	19358	21013
959	19378	20993
960	19404	20978
961	19425	20960
962	19452	20946
963	19480	20935
964	19505	20920
965	19530	20905
966	19551	20886
967	19574	20868
968	19597	20851
969	19617	20830
970	19636	20809
971	19659	20792
972	19682	20775
973	19709	20762
974	19738	20750
975	19762	20734
976	19785	20716
977	19808	20699
978	19831	20682
979	19855	20666
980	19879	20649
981	19903	20633
982	19926	20615
983	19948	20597
984	19969	20577
985	19994	20562
986	20024	20551
987	20045	20532
988	20068	20514
989	20090	20496
990	20113	20479
991	20137	20462
992	20158	20443
993	20178	20421
994	20200	20403
995	20227	20390
996	20253	20375
997	20278	20359
998	20300	20341
999	20323	20323
1000	20346	20305
1001	20369	20288
1002	20394	20272
1003	20417	20254
1004	20437	20234
1005	20459	20215
1006	20485	20200
1007	20506	20181
1008	20527	20161
1009	20549	20142
1010	20571	20123
1011	20592	20104
1012	20613	20084
1013	20635	20065
1014	20658	20047
1015	20681	20030
1016	20703	20011
1017	20728	19995
1018	20751	19977
1019	20773	19958
1020	20795	19940
1021	20814	19918
1022	20834	19897
1023	20856	19878
1024	20879	19860
1025	20898	19839
1026	20918	19818
1027	20943	19802
1028	20967	19785
1029	20987	19765
1030	21007	19744
1031	21033	19729
1032	21055	19710
1033	21079	19693
1034	21101	19673
1035	21122	19654
1036	21142	19633
1037	21166	19616
1038	21187	19597
1039	21214	19582
1040	21235	19562
1041	21258	19545
1042	21283	19528
1043	21311	19515
1044	21336	19499
1045	21357	19479
1046	21380	19460
1047	21402	19441
1048	21428	19426
1049	21450	19407
1050	21473	19389
1051	21496	19371
1052	21520	19353
1053	21543	19336
1054	21567	19318
1055	21591	19301
1056	21616	19284
1057	21638	19265
1058	21659	19245
1059	21679	19225
1060	21701	19206
1061	21725	19189
1062	21746	19169
1063	21766	19148
1064	21787	19127
1065	21807	19107
1066	21829	19088
1067	21850	19067
1068	21871	19048
1069	21897	19032
1070	21917	19011
1071	21938	18991
1072	21962	18973
1073	21983	18954
1074	22006	18936
1075	22029	18917
1076	22055	18901
1077	22076	18881
1078	22096	18860
1079	22118	18841
1080	22146	18827
1081	22169	18808
1082	22190	18789
1083	22215	18772
1084	22237	18753
1085	22260	18735
1086	22284	18717
1087	22306	18698
1088	22329	18679
1089	22351	18660
1090	22376	18643
1091	22397	18623
1092	22418	18603
1093	22440	18583
1094	22465	18567
1095	22486	18547
1096	22507	18527
1097	22528	18506
1098	22550	18487
1099	22572	18468
1100	22596	18450
1101	22618	18431
1102	22644	18414
1103	22667	18396
1104	22691	18378
1105	22717	18362
1106	22736	18340
1107	22756	18319
1108	22778	18301
1109	22799	18280
1110	22820	18260
1111	22838	18238
1112	22858	18217
1113	22877	18195
1114	22897	18174
1115	22918	18154
1116	22940	18134
1117	22961	18114
1118	22984	18096
1119	23005	18075
1120	23025	18054
1121	23044	18033
1122	23065	18012
1123	23083	17990
1124	23103	17969
1125	23122	17947
1126	23141	17926
1127	23166	17908
1128	23185	17887
1129	23205	17866
1130	23224	17844
1131	23243	17822
1132	23263	17801
1133	23282	17780
1134	23305	17761
1135	23325	17740
1136	23343	17718
1137	23363	17697
1138	23386	17678
1139	23406	17657
1140	23426	17636
1141	23446	17615
1142	23465	17594
1143	23488	17575
1144	23508	17554
1145	23528	17533
1146	23548	17512
1147	23567	17491
1148	23587	17469
1149	23610	17451
1150	23629	17429
1151	23648	17407
1152	23669	17387
1153	23688	17366
1154	23705	17343
1155	23728	17324
1156	23749	17303
1157	23768	17282
1158	23788	17261
1159	23808	17240
1160	23830	17220
1161	23850	17200
1162	23871	17179
1163	23890	17158
1164	23911	17138
1165	23931	17117
1166	23948	17094
1167	23971	17075
1168	23990	17054
1169	24008	17031
1170	24028	17010
1171	24051	16992
1172	24071	16971
1173	24090	16949
1174	24109	16927
1175	24129	16906
1176	24147	16885
1177	24171	16866
1178	24190	16845
1179	24210	16824
1180	24229	16803
1181	24248	16780
1182	24269	16760
1183	24292	16741
1184	24311	16720
1185	24335	16702
1186	24355	16681
1187	24375	16660
1188	24394	16639
1189	24414	16618
1190	24432	16596
1191	24452	16575
1192	24471	16553
1193	24495	16535
1194	24514	16514
1195	24534	16492
1196	24553	16471
1197	24573	16450
1198	24592	16429
1199	24611	16407
1200	24630	16385
1201	24647	16363
1202	24666	16341
1203	24686	16321
1204	24709	16301
1205	24731	16282
1206	24751	16261
1207	24771	16240
1208	24789	16219
1209	24808	16196
1210	24827	16175
1211	24848	16155
1212	24867	16134
1213	24890	16115
1214	24911	16095
1215	24929	16073
1216	24949	16051
1217	24967	16030
1218	24989	16010
1219	25009	15989
1220	25028	15968
1221	25048	15947
1222	25067	15926
1223	25084	15903
1224	25103	15881
1225	25123	15860
1226	25144	15840
1227	25163	15819
1228	25182	15798
1229	25201	15776
1230	25221	15755
1231	25241	15734
1232	25261	15714
1233	25280	15692
1234	25298	15670
1235	25318	15649
1236	25338	15628
1237	25360	15609
1238	25378	15587
1239	25399	15567
1240	25418	15546
1241	25435	15523
1242	25451	15500
1243	25472	15480
1244	25491	15458
1245	25510	15437
1246	25529	15416
1247	25552	15396
1248	25573	15376
1249	25593	15355
1250	25612	15334
1251	25630	15312
1252	25650	15291
1253	25668	15270
1254	25688	15249
1255	25707	15228
1256	25726	15206
1257	25744	15184
1258	25762	15163
1259	25781	15141
1260	25799	15119
1261	25820	15099
1262	25838	15077
1263	25856	15055
1264	25875	15034
1265	25893	15012
1266	25912	14991
1267	25931	14969
1268	25949	14948
1269	25968	14926
1270	25989	14906
1271	26007	14884
1272	26022	14861
1273	26041	14840
1274	26059	14818
1275	26078	14796
1276	26102	14778
1277	26121	14757
1278	26141	14736
1279	26159	14714
1280	26178	14693
1281	26200	14673
1282	26222	14654
1283	26241	14633
1284	26262	14612
1285	26284	14593
1286	26304	14572
1287	26324	14551
1288	26343	14530
1289	26362	14509
1290	26378	14486
1291	26395	14464
1292	26417	14444
1293	26435	14423
1294	26455	14402
1295	26474	14380
1296	26493	14359
1297	26512	14338
1298	26531	14317
1299	26550	14296
1300	26573	14277
1301	26595	14257
1302	26614	14236
1303	26637	14217
1304	26656	14196
1305	26674	14174
1306	26694	14153
1307	26713	14132
1308	26731	14111
1309	26749	14089
1310	26768	14068
1311	26786	14046
1312	26808	14026
1313	26827	14006
1314	26849	13986
1315	26868	13965
1316	26888	13944
1317	26906	13922
1318	26925	13901
1319	26944	13880
1320	26961	13858
1321	26980	13837
1322	27003	13818
1323	27023	13797
1324	27042	13776
1325	27063	13756
1326	27082	13735
1327	27102	13714
1328	27121	13693
1329	27140	13672
1330	27161	13652
1331	27179	13630
1332	27197	13608
1333	27215	13587
1334	27234	13566
1335	27253	13545
1336	27275	13525
1337	27293	13504
1338	27313	13483
1339	27331	13461
1340	27350	13440
1341	27370	13420
1342	27389	13399
1343	27409	13378
1344	27426	13356
1345	27444	13334
1346	27463	13313
1347	27484	13293
1348	27503	13272
1349	27522	13251
1350	27546	13233
1351	27566	13212
1352	27587	13192
1353	27606	13171
1354	27626	13150
1355	27647	13130
1356	27668	13110
1357	27688	13090
1358	27710	13070
1359	27728	13048
1360	27746	13027
1361	27764	13005
1362	27783	12984
1363	27800	12962
1364	27818	12941
1365	27840	12921
1366	27857	12899
1367	27876	12878
1368	27895	12857
1369	27918	12838
1370	27937	12817
1371	27954	12795
1372	27973	12774
1373	27992	12753
1374	28011	12732
1375	28030	12711
1376	28051	12691
1377	28069	12670
1378	28087	12648
1379	28105	12627
1380	28126	12607
1381	28148	12587
1382	28166	12566
1383	28185	12545
1384	28203	12523
1385	28222	12502
1386	28241	12481
1387	28260	12460
1388	28279	12439
1389	28299	12419
1390	28316	12397
1391	28337	12377
1392	28353	12355
1393	28371	12333
1394	28389	12312
1395	28406	12290
1396	28423	12268
1397	28442	12247
1398	28460	12226
1399	28478	12204
1400	28497	12184
1401	28516	12163
1402	28537	12143
1403	28555	12121
1404	28574	12100
1405	28593	12080
1406	28612	12059
1407	28631	12038
1408	28653	12018
1409	28671	11997
1410	28693	11977
1411	28711	11956
1412	28729	11935
1413	28753	11916
1414	28772	11895
1415	28791	11874
1416	28810	11853
1417	28828	11832
1418	28846	11811
1419	28866	11790
1420	28885	11769
1421	28902	11748
1422	28921	11727
1423	28939	11705
1424	28962	11686
1425	28979	11664
1426	28998	11643
1427	29016	11622
1428	29032	11600
1429	29051	11579
1430	29069	11558
1431	29087	11537
1432	29106	11516
1433	29124	11495
1434	29141	11473
1435	29164	11454
1436	29182	11433
1437	29199	11411
1438	29218	11390
1439	29236	11369
1440	29254	11348
1441	29274	11328
1442	29298	11309
1443	29317	11288
1444	29335	11267
1445	29356	11247
1446	29377	11227
1447	29396	11206
1448	29415	11185
1449	29437	11165
1450	29455	11144
1451	29473	11123
1452	29491	11102
1453	29506	11080
1454	29524	11059
1455	29542	11037
1456	29559	11016
1457	29581	10996
1458	29600	10975
1459	29618	10954
1460	29636	10933
1461	29656	10913
1462	29675	10892
1463	29695	10872
1464	29716	10852
1465	29733	10830
1466	29752	10810
1467	29773	10789
1468	29801	10772
1469	29821	10751
1470	29846	10733
1471	29868	10713
1472	29889	10693
1473	29909	10673
1474	29929	10652
1475	29949	10632
1476	29970	10612
1477	29990	10592
1478	30011	10571
1479	30034	10552
1480	30057	10533
1481	30082	10514
1482	30107	10496
1483	30129	10476
1484	30151	10456
1485	30172	10436
1486	30192	10416
1487	30214	10396
1488	30237	10376
1489	30259	10357
1490	30285	10339
1491	30308	10319
1492	30332	10300
1493	30352	10279
1494	30371	10259
1495	30392	10239
1496	30414	10219
1497	30436	10199
1498	30457	10179
1499	30480	10160
1500	30501	10140
1501	30526	10121
1502	30548	10101
1503	30570	10081
1504	30595	10062
1505	30616	10042
1506	30637	10022
1507	30659	10003
1508	30681	9983
1509	30701	9962
1510	30722	9942
1511	30743	9922
1512	30767	9903
1513	30787	9882
1514	30809	9862
1515	30835	9844
1516	30856	9824
1517	30878	9804
1518	30896	9783
1519	30919	9764
1520	30942	9744
1521	30964	9724
1522	30987	9705
1523	31012	9686
1524	31030	9665
1525	31047	9643
1526	31065	9622
1527	31085	9602
1528	31105	9581
1529	31124	9561
1530	31140	9539
1531	31159	9518
1532	31179	9498
1533	31199	9477
1534	31222	9458
1535	31244	9438
1536	31263	9417
1537	31289	9399
1538	31310	9379
1539	31329	9358
1540	31347	9337
1541	31367	9316
1542	31387	9296
1543	31407	9275
1544	31427	9255
1545	31451	9236
1546	31469	9215
1547	31490	9194
1548	31510	9174
1549	31529	9153
1550	31549	9133
1551	31568	9112
1552	31587	9091
1553	31606	9071
1554	31627	9050
1555	31646	9030
1556	31669	9010
1557	31689	8990
1558	31708	8969
1559	31727	8948
1560	31747	8928
1561	31768	8908
1562	31790	8888
1563	31809	8867
1564	31830	8847
1565	31855	8828
1566	31876	8808
1567	31900	8789
1568	31925	8769
1569	31945	8749
1570	31969	8730
1571	31991	8710
1572	32011	8689
1573	32032	8669
1574	32053	8649
1575	32074	8629
1576	32095	8608
1577	32115	8588
1578	32138	8568
1579	32159	8548
1580	32180	8528
1581	32206	8509
1582	32227	8489
1583	32248	8469
1584	32270	8449
1585	32289	8428
1586	32309	8408
1587	32330	8387
1588	32349	8367
1589	32374	8348
1590	32394	8327
1591	32413	8307
1592	32433	8286
1593	32453	8266
1594	32472	8245
1595	32491	8224
1596	32508	8203
1597	32530	8183
1598	32551	8163
1599	32574	8143
1600	32596	8123
1601	32617	8103
1602	32640	8083
1603	32666	8064
1604	32688	8044
1605	32710	8024
1606	32732	8004
1607	32757	7985
1608	32776	7964
1609	32796	7944
1610	32818	7924
1611	32841	7904
1612	32864	7884
1613	32892	7866
1614	32914	7846
1615	32933	7825
1616	32950	7804
1617	32969	7783
1618	32988	7763
1619	33009	7743
1620	33028	7722
1621	33047	7701
1622	33071	7682
1623	33089	7661
1624	33109	7640
1625	33127	7619
1626	33146	7599
1627	33164	7578
1628	33184	7557
1629	33208	7538
1630	33226	7517
1631	33245	7496
1632	33266	7476
1633	33287	7455
1634	33305	7435
1635	33324	7414
1636	33343	7393
1637	33362	7373
1638	33381	7352
1639	33400	7331
1640	33418	7310
1641	33436	7289
1642	33455	7269
1643	33473	7248
1644	33495	7228
1645	33513	7207
1646	33533	7187
1647	33553	7166
1648	33572	7146
1649	33593	7125
1650	33616	7106
1651	33635	7085
1652	33654	7064
1653	33673	7044
1654	33691	7023
1655	33712	7003
1656	33730	6982
1657	33750	6961
1658	33769	6941
1659	33788	6920
1660	33808	6900
1661	33828	6879
1662	33846	6858
1663	33865	6838
1664	33883	6817
1665	33904	6797
1666	33926	6777
